"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"US-GBT", "88585", "GRP_HEIGHTC", , "8.2", "Mean", "190", , "2010", , , , , , 
"US-GBT", "88586", "GRP_HEIGHTC", , "27.7", "99th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88587", "GRP_HEIGHTC", , "14.6", "Median - 50th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88588", "GRP_HEIGHTC", , "7.8", "10th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88589", "GRP_HEIGHTC", , "4.4", "1st Percentile", "271", , "2011", , , , , , 
"US-GBT", "88590", "GRP_HEIGHTC", , "19.7", "95th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88591", "GRP_HEIGHTC", , "6.2", "Median - 50th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88592", "GRP_HEIGHTC", , "17.2", "90th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88593", "GRP_HEIGHTC", , "19.2", "75th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88594", "GRP_HEIGHTC", , "2.2", "5th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88595", "GRP_HEIGHTC", , "12.9", "75th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88596", "GRP_HEIGHTC", , "6.3", "5th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88597", "GRP_HEIGHTC", , "1.7", "1st Percentile", "190", , "2010", , , , , , 
